Hf,Th,U,Y,Ti,Nb,Ta,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,REE,T (¡æ),Th/U,Hf/Y,Yb/Dy,EuN/EuN*,Ce/Nd,CeN/CeN*,¡÷FMQ,(EuN/EuN*)/Y
10539,92.9,105,781,3.71,2.11,0.53,0.01,32,0.026,0.91,3.38,1.05,17.1,5.6,65.1,24.8,118,26.2,246,52.8,592.8704704,678,0.88,13.5,3.8,0.42,35.1,303,7.16,0.00054
10846,82.3,104,946,3.45,2.2,0.58,0.84,36.5,0.25,2.07,3.68,1.09,19.4,6.29,78.5,30.1,141,31.1,305,61.8,717.6924359,672,0.79,11.5,3.9,0.4,17.62,73,1.62,0.000419
10175,220,239,1126,3.71,3.79,0.77,0.26,45.7,0.12,1.65,3.89,1.25,22.6,7.74,92.3,35.2,163,36.5,347,71.5,828.6648464,678,0.92,9,3.8,0.41,27.73,153,4.57,0.000363
9261,178,161,2195,9.3,4.3,0.62,0.017,32.5,0.086,1.76,5.08,2.99,41.2,15,193,70.3,321,67.2,637,133,1519.843483,760,1.1,4.2,3.3,0.63,18.46,124,6.1,0.000288
10776,64.3,87.1,740,2.98,1.41,0.44,0.015,29.2,0.061,1.07,2.63,1.25,14.8,4.84,62.6,22.4,108,24,236,49.7,557.0090089,661,0.74,14.6,3.8,0.61,27.35,157,4.13,0.000828
10441,98.2,97,641,1.48,1.59,0.42,5.27,41.6,1.79,8.52,4.03,1.17,14,4.45,54.4,20.2,93.1,20.8,195,41.5,505.68965,609,1.01,16.3,3.6,0.47,4.88,5,-10.28,0.000741
11899,54.4,76.7,601,1.53,1.44,0.33,0.039,23.6,0.041,0.66,1.83,0.82,11.7,3.95,47.4,18.8,88.3,19.8,199,44.2,460.2549234,611,0.71,19.8,4.2,0.54,35.57,228,3.86,0.0009
11613,64.3,99.4,692,2.82,1.6,0.44,0.039,30,0.042,0.89,2.61,0.93,13.5,4.39,55.2,20.6,98.3,21.9,223,47.2,518.1970957,656,0.65,16.8,4,0.48,33.68,229,5.41,0.000693
11351,53.4,86,751,2.86,2.09,0.64,0,26.7,0.035,0.66,2.49,0.96,14.2,4.94,58.9,23.5,110,24.8,250,51.8,569.3152971,658,0.62,15.1,4.3,0.49,40.45,355,7.1,0.000657
11506,108,94.3,496,2.42,1.31,0.39,0.19,26.8,0.1,1.01,1.88,0.87,12.1,3.62,43.3,15.6,74.3,15.6,150,30.2,375.339656,645,1.15,23.2,3.5,0.56,26.48,115,2.43,0.001125
10844,37.5,58.1,521,2.37,1.13,0.35,0,20,0.033,0.62,1.66,0.6,9.88,3.58,43.4,16.4,78.5,17.3,165,36,393.0142183,643,0.65,20.8,3.8,0.46,32.16,200,4.47,0.000876
11682,50.8,72.7,588,2.13,1.55,0.43,7.06,40.7,2.5,11.5,4.26,1.01,12.1,3.97,46.6,18.8,89.6,19.6,188,42.8,488.5428174,635,0.7,19.9,4,0.43,3.55,3,-11.48,0.000733
11018,68.2,91.5,736,2.88,1.77,0.39,0,27.6,0.048,0.82,2.85,1,14.4,4.79,56.1,22.7,107,23.6,235,51.6,546.838488,658,0.75,15,4.2,0.48,33.59,271,6.1,0.000646
11906,45.6,72.3,583,1.48,1.31,0.36,0.027,21.6,0.042,0.73,1.71,0.69,10.4,3.67,43.6,18.3,86.2,18.6,186,41.5,433.4181252,608,0.63,20.4,4.3,0.5,29.5,161,2.46,0.000863
10761,102,101,676,4.23,1.68,0.47,0,30.7,0.034,0.98,2.73,1.06,14.6,4.98,55.5,21.7,98.3,20.8,205,43.3,499.6054113,689,1.01,15.9,3.7,0.51,31.19,201,5.94,0.00076
10984,83.2,101,1051,3.01,2.56,0.63,0.017,38.7,0.042,1.2,2.88,1.21,20.7,6.79,85.3,32.8,155,32.8,316,66.7,759.5752056,661,0.82,10.5,3.7,0.48,32.34,182,4.7,0.000456
11010,103,120,778,3.21,2.44,0.57,0.0058,38.7,0.024,1.07,3.15,1.02,15.9,5.63,67.2,24.8,115,24.9,228,49.3,574.6336222,667,0.86,14.1,3.4,0.44,36.1,248,6.03,0.000567
11024,98.7,106,737,3.32,1.69,0.45,0.2,32.2,0.13,1.21,3.01,0.96,15.8,5.36,60.7,22.6,106,22.7,218,47.6,536.1627119,669,0.93,14.9,3.6,0.42,26.74,155,4.37,0.000576
10461,54.6,78.3,780,4.52,1.53,0.5,0.015,24.2,0.058,0.91,2.28,0.87,14.4,4.84,58.2,24.2,117,24.5,246,53.8,571.2426068,695,0.7,13.4,4.2,0.46,26.52,154,5.11,0.000594
11446,79,85.5,454,1.26,1.19,0.41,0.0035,24,0.027,0.55,1.8,0.63,9.73,3.23,38.3,14.6,64.8,13.9,134,27.3,332.8445641,598,0.92,25.2,3.5,0.46,43.95,337,4.85,0.001011
11022,55.5,73,384,2.6,0.81,0.3,0,18.7,0.0045,0.59,1.43,0.49,8.36,2.76,31.4,12.2,57.1,12.4,119,25.9,290.8041873,650,0.76,28.7,3.8,0.43,31.52,177,4.23,0.001127
10775,51.2,71.4,495,1.33,1.15,0.37,0.0054,20,0.038,0.64,1.75,0.76,9.05,3.24,39.1,15.8,74.8,15.9,160,33.2,374.1814552,601,0.72,21.8,4.1,0.58,31.43,202,3.06,0.001174
11054,50.6,79.5,687,3.57,1.75,0.47,1.7,28.5,0.6,3.72,2.6,0.98,13.7,4.53,51.4,22.5,104,22.6,217,48.6,522.8122659,675,0.64,16.1,4.2,0.5,7.66,12,-4.94,0.000729
10841,48.4,68.3,469,2.1,1.1,0.34,0.0085,18.6,0.053,0.68,1.46,0.75,9.52,3.35,39.1,15.2,71.9,15.6,154,31.8,361.4246182,634,0.71,23.1,3.9,0.61,27.22,135,2.7,0.001309
10783,83.3,98.6,634,2.3,1.65,0.5,0.027,32.8,0.034,0.86,2.62,0.78,14.3,4.42,53.4,20.4,93.6,19.7,198,40.8,481.5056229,641,0.84,17,3.7,0.39,38.29,273,5.56,0.000611
10469,444,307,1609,4.92,4.65,0.88,0,95.9,0.09,2.04,7.14,2.76,39.8,13.4,143,53.9,230,47.7,429,86.2,1151.473223,702,1.45,6.5,3,0.5,46.97,383,8.73,0.000311
10636,64.3,87.6,818,3.42,2.01,0.55,0.031,29.9,0.059,1.09,2.93,1.15,16,5.54,66.4,27,127,27.9,265,57.6,627.622961,672,0.73,13,4,0.51,27.4,171,4.8,0.000627
10510,107,113,723,4.36,1.78,0.45,0.0075,32,0.083,1.04,2.57,0.87,15,5.18,62.8,23.5,108,23.1,224,46.9,544.9023932,692,0.95,14.5,3.6,0.43,30.79,178,5.55,0.000589
10667,161,154,771,1.84,2.33,0.65,5.77,54.2,1.94,10.3,4.28,1.35,18.6,6.23,66.4,25.1,114,24.7,230,46.3,608.3050158,624,1.05,13.8,3.5,0.46,5.28,5,-9.94,0.000598
10554,70.8,87.6,752,3.42,1.78,0.43,0,29.9,0.054,0.98,2.76,0.99,15.2,5.36,63.6,25,119,24.4,242,51.6,580.3361054,672,0.81,14,3.8,0.47,30.39,199,5.36,0.000621
